log_group,@timestamp,@requestId,@duration,@billedDuration,@memorySize,@maxMemoryUsed,@initDuration,@logStream
/aws/lambda/traffic-analysis-128mb,2026-05-10 13:59:17.515,36a75668-c744-4731-af36-65b1e150abde,125.59,126,128000000,92000000,,2026/05/10/[$LATEST]009b43f1b4fd43b6af05aaa6281a638f
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:28.921,3b5b5db5-3e5a-4bc3-8a9e-b3d9b94b9c06,108.22,109,512000000,95000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:29.498,efd5ea2f-ffd9-473a-b4dd-8ca67d9e3ef5,33.06,34,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:30.099,a7cef08c-b292-4848-9ce2-ee4ad6076a89,43.43,44,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:30.673,7893d2f3-d113-4d57-b774-aaae509406b7,30.62,31,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:31.257,79df1c17-0237-4809-b52a-b709f16b2f9e,39.41,40,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:31.832,5de71d28-196b-41b4-b879-363c6e9cacd6,38.31,39,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:32.415,9b3fe492-7abe-4dd1-81e4-fa960f3ddb0c,41.24,42,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:32.996,cc153063-2c32-4144-9726-02a9e0fc3be8,30.82,31,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:33.574,58aca964-fc37-4bbe-b998-c9721af3b871,33.62,34,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:34.159,80abbaa4-bd4f-4f17-9acf-a9a05339aba7,43.59,44,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:34.748,f78e6ae4-7900-4c68-bd77-f33f91737ae1,45,45,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:35.336,df6fcf2a-8b5a-475f-8d4b-7b67ca2b9055,37.02,38,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:35.930,7a27f565-bde1-4266-97a1-8975bb4bba57,36.78,37,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:36.516,b456615d-b793-4ac2-80e1-16bb7af4c92b,37.64,38,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:32:37.096,ab6cbc0e-fa73-4b7e-8e86-3ed5e1142e19,40.76,41,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:34:58.839,761c2d70-a0ba-44b3-813b-d6a5000da4e4,106.33,107,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:34:59.122,c8b8ef80-149b-4607-bac6-0bd42ed814aa,33.58,34,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:34:59.400,c687aedc-5439-4b27-8ece-785e2850d045,33.53,34,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:34:59.678,834bde2e-06d9-4731-aca8-7491c7966233,34.55,35,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:34:59.959,b38758d1-0148-41c9-838c-8c02aceb44e7,33.7,34,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:35:00.252,66cf2307-77e4-4dc4-991b-b1a30b0caf18,30.27,31,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:35:00.531,ad828dd8-e898-46bb-8e48-d41cb0d7de1a,31.03,32,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:35:00.816,37e9e620-312f-4845-a1d6-e9c619682c27,32.38,33,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:35:01.096,c6868ca2-d95d-4fbc-ac2a-732c30e3b3c7,31.53,32,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-512mb,2026-05-10 13:35:01.378,015810fb-b5b7-4c45-b4a6-9c721a6d9169,31.99,32,512000000,96000000,,2026/05/10/[$LATEST]24dc96ec4e8f488d9366c1ffa0ac3727
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:37.713,e17102d5-26cf-4301-a7f1-9d6a35fea9ff,63.13,64,3008000000,95000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:38.290,2834978b-c867-44c3-9cd5-59570683c2a3,30.68,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:38.859,4a55273e-4e37-49a2-bbd8-918fbbc8845e,29.26,30,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:39.432,b183a892-4298-4eb5-96d5-c57da5e15685,31.06,32,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:40.008,44764a15-dae0-4f84-a5af-5a5140995dc4,30.06,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:40.586,479ca82b-1f76-4ed0-af1d-bba3f58ad197,30.08,31,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:41.162,fb3d71d4-3064-4bbe-96e3-7bc7935ead2d,29.38,30,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
/aws/lambda/traffic-analysis-3008mb,2026-05-10 13:32:41.734,ef9d4687-2c54-4112-8bdb-ef925e1e3d81,31.5,32,3008000000,96000000,,2026/05/10/[$LATEST]2f173e0718e24907a2e5194751f75a86
